LAST EDITED DATE	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	TRIP COMMENTS	
2023-06-01 16:39:26.059294	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-05-19	17:37:00	obsr669221	S138445796	Traveling	P22	EBIRD	91	0.750		2	1	G10271156		
2023-06-01 16:39:26.059294	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-05-19	17:37:00	obsr540781	S138445797	Traveling	P22	EBIRD	91	0.750		2	1	G10271156		
2023-06-01 22:49:55.243495	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-06-01	06:11:00	obsr217779	S140154215	Traveling	P22	EBIRD	611	8.047		5	1			
2023-07-22 13:06:49.654428	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-06-24	05:35:00	obsr2774010	S145295275	Traveling	P22	EBIRD	360	2.000		2	1			
2023-04-17 05:25:02.688767	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-03-05	06:11:00	obsr550217	S130337801	Traveling	P22	EBIRD	506	12.697		3	1	G9803378	Rain	
2023-01-25 03:46:52.246414	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-01-22	06:20:00	obsr674509	S126759931	Traveling	P22	EBIRD	350	3.219		11	1	G9552407		
2023-01-25 03:46:52.246414	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-01-22	06:20:00	obsr429980	S126890111	Traveling	P22	EBIRD	350	3.219		11	1	G9552407		
2023-06-02 21:18:39.27274	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-06-01	06:17:00	obsr1292608	S140169947	Traveling	P22	EBIRD	130	1.400		5	1	G10361250		
2023-06-02 21:18:43.443131	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-06-01	06:17:00	obsr742378	S140174644	Traveling	P22	EBIRD	130	1.400		5	1	G10361250		
2024-01-02 13:24:59.990212	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-01-10	05:50:00	obsr423367	S125886593	Traveling	P22	EBIRD	589	6.160		3	1		Cerrito verde with migwel portera	
2024-02-18 14:25:58.080782	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-08-06	06:09:00	obsr2076186	S146722421	Traveling	P22	EBIRD	588	14.248		2	1	G11745014		
2024-01-24 17:17:59.730511	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-11-15	14:29:00	obsr1074750	S154533484	Traveling	P22	EBIRD	120	3.219		1	1			
2024-01-02 13:24:59.845523	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-12-20	14:40:00	obsr1415421	S156775078	Traveling	P22	EBIRD	96	2.324		3	1	G11343332		
2024-01-02 13:24:59.866653	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-12-20	14:40:00	obsr685025	S156775204	Traveling	P22	EBIRD	96	2.324		3	1	G11343332		
